set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47;
set K := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47;
set I := 1 2;

param r :=
	
	1	29.07
	
	2	31.2
	
	3	34.22
	
	4	35.12
	
	5	37.32
	
	6	37.83
	
	7	42.58
	
	8	43.55
	
	9	48.52
	
	10	53.42
	
	11	58.05
	
	12	63.28
		
	13	63.33
	
	14	63.42
	
	15	64.45
	
	16	65.77
	
	17	66.78
	
	18	66.88
	
	19	67.53
		
	20	68.87
		
	21	71.18
	
	22	71.4
	
	23	79.78
	
	24	80.37
	
	25	81.35
	
	26	82.72
	
	27	83.77
	
	28	85.78
		
	29	86.28
	
	30	92.52
	
	31	93.33
	
	32	94.75
	
	33	94.77
	
	34	94.88
	
	35	99.07
	
	36	100.67
	
	37	101.63
	
	38	103.02
	
	39	103.9
	
	40	105.43
	
	41	107.62
	
	42	111.15
	
	43	115.57
		
	44	115.88
		
	45	120.02

	46	123.78
	
	47	124.58;

param p:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47 :=
1	17	18	23	2000	2000	2000	2000	13	19	19	18	16	2000	2000	24	2000	20	24	23	2000	2000	18	12	2000	2000	2000	20	22	14	2000	22	16	14	24	21	24	21	16	19	13	19	18	22	2000	20	12	21
2	2000	2000	21	24	15	14	19	19	21	18	23	18	23	15	19	21	17	14	22	14	13	19	16	21	23	13	15	13	21	23	2000	20	14	22	20	12	23	12	16	24	20	17	16	22	13	18	20 ;

param M:= 5100;





